;;;;;;;;;;;;;;;;;
Второй раздел – виды спорта, развитие которых осуществляется на общероссийском уровне, и их спортивные дисциплины;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
№;Наименование  вида спорта;Номер-код вида спорта;Наименование спортивной дисциплины;Номер-код спортивной дисциплины;;;;;;;;;;;;;
;;;ВЕС ГРУППЫ - 560 КГ;1270031811Я;;;;;;;;;;;;;
;;;ВЕС ГРУППЫ СМЕШАННОЙ - 520 КГ;1270091811Н;;;;;;;;;;;;;
;;;ВЕС ГРУППЫ - 520 КГ;1270021811Б;;;;;;;;;;;;;
;;;ВЕС ГРУППЫ - 480 КГ;1270011811Б;;;;;;;;;;;;;
79;КИОКУСИНКАЙ;1730001411Я;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 60+ КГ;1730301811С;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1730311811С;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 65+ КГ;1730321811С;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1730331811А;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;1730341811Ю;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1730351811А;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 75+ КГ;1730361811А;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1730371811М;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 80+ КГ;1730381811М;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;1730391811М;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;1730401811М;;;;;;;;;;;;;
;;;КЁКУСИН - АБСОЛЮТНАЯ КАТЕГОРИЯ;1730881811М;;;;;;;;;;;;;
;;;КЁКУСИН - КАТА - ГРУППА;1730421811Я;;;;;;;;;;;;;
;;;КЁКУСИН - ТАМЭСИВАРИ;1730431811М;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 30 КГ;1730441811Н;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 35 КГ;1730451811Н;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1730461811Н;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1730471811Н;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1730481811С;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 60+ КГ;1730521811Н;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;1730621811М;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 95 КГ;1730931811М;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 95+ КГ;1730601811М;;;;;;;;;;;;;
;;;КЁКУСИНКАН -АБСОЛЮТНАЯ КАТЕГОРИЯ;1730891811М;;;;;;;;;;;;;
;;;КЁКУСИНКАН - КАТА;1730631811Я;;;;;;;;;;;;;
;;;КЁКУСИНКАН - КАТА - ГРУППА;1730641811Я;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ТАМЭСИВАРИ;1730651811Л;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 30 КГ;1730661811Н;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 35 КГ;1730671811Н;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1730681811Н;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1730691811Н;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1730701811С;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1730711811С;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 55+ КГ;1730721811Н;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1730731811С;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 60+ КГ;1730741811С;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1730751811Я;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 65+ КГ;1730761811С;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1730771811А;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;1730781811Ю;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1730791811М;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1730811811М;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1730801811М;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 85+ КГ;1730821811М;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;1730831811М;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;1730841811М;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ -АБСОЛЮТНАЯ КАТЕГОРИЯ;1730901811Л;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - КАТА;1730851811Я;;;;;;;;;;;;;
;;;СИНКЁКУСИНКАЙ - ТАМЭСИВАРИ;1730861811М;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1730531811Я;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 65+ КГ;1730541811С;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1730551811Г;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;1730561811Э;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1730571811А;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 75+ КГ;1730581811Ю;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1730591811М;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 85 КГ;1730921811М;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;1730611811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 30 КГ;1730011811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 35 КГ;1730021811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1730031811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 40+ КГ;1730951811Д;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1730041811Н;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 30 КГ;1730221811Н;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 35 КГ;1730231811Н;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1730241811Н;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 45 КГ;1730251811Н;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1730261811Н;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1730271811Н;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 55+ КГ;1730281811Н;;;;;;;;;;;;;
;;;КЁКУСИН - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1730291811С;;;;;;;;;;;;;
;;;КЁКУСИН - КАТА;1730411811Я;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 50 КГ;1730051811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1730061811С;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 55+ КГ;1730071811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1730081811Ф;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 60+ КГ;1730091811Н;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 65 КГ;1730101811Э;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 65+ КГ;1730111811Э;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1730121811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 70+ КГ;1730131811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 75 КГ;1730141811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 75+ КГ;1730151811Ю;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 80 КГ;1730161811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 80+ КГ;1730171811А;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 90 КГ;1730181811М;;;;;;;;;;;;;
;;;ВЕСОВАЯ КАТЕГОРИЯ 90+ КГ;1730191811М;;;;;;;;;;;;;
;;;АБСОЛЮТНАЯ КАТЕГОРИЯ;1730871811Л;;;;;;;;;;;;;
;;;КАТА;1730201811Я;;;;;;;;;;;;;
;;;КАТА - ГРУППА;1730911811Я;;;;;;;;;;;;;
;;;ТАМЭСИВАРИ;1730211811Л;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 50+ КГ;1730941811Д;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 55 КГ;1730491811С;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 55+ КГ;1730501811Н;;;;;;;;;;;;;
;;;КЁКУСИНКАН - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1730511811Я;;;;;;;;;;;;;
80;РОУП СКИППИНГ (СПОРТИВНАЯ СКАКАЛКА);1780001411Я;ПРЫЖКИ ЧЕРЕЗ ДВЕ СКАКАЛКИ 1 ЧЕЛОВЕК;1780081411Я;;;;;;;;;;;;;
;;;ПРЫЖКИ 4 ЧЕЛОВЕКА;1780071411Я;;;;;;;;;;;;;
;;;ПРЫЖКИ ТРОЙНЫЕ;1780061411Я;;;;;;;;;;;;;
;;;ПРЫЖКИ ДВОЙНЫЕ;1780051411Я;;;;;;;;;;;;;
;;;ПРЫЖКИ ЗА 180 С;1780041411Я;;;;;;;;;;;;;
;;;ПРЫЖКИ ЗА 30 С;1780031411Я;;;;;;;;;;;;;
;;;ВОЛЬНЫЕ УПРАЖНЕНИЯ - ГРУППА;1780021411Я;;;;;;;;;;;;;
;;;КОМАНДНЫЕ СОРЕВНОВАНИЯ;1780111411Я;;;;;;;;;;;;;
;;;ПРЫЖКИ ЧЕРЕЗ ДВЕ СКАКАЛКИ 4 ЧЕЛОВЕКА;1780101411Я;;;;;;;;;;;;;
;;;ПРЫЖКИ ЧЕРЕЗ ДВЕ СКАКАЛКИ 2 ЧЕЛОВЕКА;1780091411Я;;;;;;;;;;;;;
;;;ВОЛЬНЫЕ УПРАЖНЕНИЯ;1780011411Я;;;;;;;;;;;;;
81;СПОРТ ЛИЦ С ИНТЕЛЛЕКТУАЛЬНЫМИ НАРУШЕНИЯМИ;1490007711Я;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 32 КГ;1491371711Д;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 34 КГ;1491381711Ю;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 36 КГ;1491391711Д;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 40 КГ;1491411711Д;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 42 КГ;1491421711Ю;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 44 КГ;1490091711Д;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 48 КГ;1490101711Б;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1490111711Б;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;1490121711С;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 60 КГ;1490131711А;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;1490141711Б;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 66 КГ;1490151711А;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 70 КГ;1490161711Б;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 73 КГ;1490171711А;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 78 КГ;1490181711Б;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 60 М;1490281711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 100 М;1490291711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 200 М;1490301711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 400 М;1490311711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 400 М (КРУГ 200 М);1491431711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 800 М;1490321711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 800 М (КРУГ 200 М);1491441711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 1500 М;1490331711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 1500 М (КРУГ 200 М);1491451711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 400 М С БАРЬЕРАМИ;1490401711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 3000 М С ПРЕПЯТСТВИЯМИ;1490411711Л;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ НА ШОССЕ 10 - 21,0975 КМ;1490421711Л;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ЭСТАФЕТА 4X100 М;1490581711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ЭСТАФЕТА 4X200 М;1490591711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - ЭСТАФЕТА 4 Х 200 М (КРУГ 200 М);1491471711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - МЕТАНИЕ МОЛОТА;1490451711Л;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - МЕТАНИЕ КОПЬЯ;1490441711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - ТОЛКАНИЕ ЯДРА;1490491711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - 5-БОРЬЕ;1490501711Л;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - 5-БОРЬЕ (КРУГ 200 М);1491611711Л;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - 7-БОРЬЕ;1490511711Б;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - 7-БОРЬЕ (КРУГ 200 М);1491621711А;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - 10-БОРЬЕ;1491631711М;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - КЛАССИЧЕСКИЙ СТИЛЬ - СПРИНТ;1491643711Я;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - КЛАССИЧЕСКИЙ СТИЛЬ 2,5 КМ;1490643711Б;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - КЛАССИЧЕСКИЙ СТИЛЬ 3 КМ;1491653711Я;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - КЛАССИЧЕСКИЙ СТИЛЬ 5 КМ;1490653711Я;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - КЛАССИЧЕСКИЙ СТИЛЬ 10 КМ;1490663711А;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - СВОБОДНЫЙ СТИЛЬ 12,5 КМ (МАССТАРТ);1491743711М;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БРАСС 100 М;1490721711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БАТТЕРФЛЯЙ 200 М;1490821711Л;;;;;;;;;;;;;
;;;БАСКЕТБОЛ;1490022711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - ГОНКА ПРЕСЛЕДОВАНИЯ 2 КМ;1491151711С;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - ГОНКА ПРЕСЛЕДОВАНИЯ 3 КМ;1491161711Г;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ТРЕК - ГРУППОВАЯ ГОНКА С ВЫБЫВАНИЕМ;1491171711С;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ИНДИВИДУАЛЬНАЯ ГОНКА 50 КМ;1490031711А;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ИНДИВИДУАЛЬНАЯ ГОНКА НА ВРЕМЯ 5 КМ;1491181711Б;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ИНДИВИДУАЛЬНАЯ ГОНКА НА ВРЕМЯ 10 КМ;1491191711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ИНДИВИДУАЛЬНАЯ ГОНКА НА ВРЕМЯ 15 КМ;1491201711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ИНДИВИДУАЛЬНАЯ ГОНКА НА ВРЕМЯ 20 КМ;1491211711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ИНДИВИДУАЛЬНАЯ ГОНКА НА ВРЕМЯ 25 КМ;1491221711С;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ИНДИВИДУАЛЬНАЯ ГОНКА НА ВРЕМЯ;1491231711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ИНДИВИДУАЛЬНАЯ ГОНКА НА ВРЕМЯ В ГОРУ 10 КМ;1491241711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - ИНДИВИДУАЛЬНАЯ ГОНКА НА ВРЕМЯ В ГОРУ 15 КМ;1491251711Я;;;;;;;;;;;;;
;;;ВЕЛОСПОРТ-ШОССЕ - КОМАНДНАЯ ГОНКА 10 КМ;1491261711Б;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 78+ КГ;1490191711Я;;;;;;;;;;;;;
;;;ДЗЮДО - ВЕСОВАЯ КАТЕГОРИЯ 81 КГ;1490201711А;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 3000 М;1490341711Я;;;;;;;;;;;;;
;;;ЛЕГКАЯ АТЛЕТИКА - БЕГ 3000 М (КРУГ 200 М);1491461711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 5000 М;1490351711Л;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 10000 М;1490361711Л;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 60 М С БАРЬЕРАМИ;1490371711Я;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 110 М С БАРЬЕРАМИ;1490381711А;;;;;;;;;;;;;
;;;ЛЁГКАЯ АТЛЕТИКА - БЕГ 100 М С БАРЬЕРАМИ;1490391711Б;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - КЛАССИЧЕСКИЙ СТИЛЬ 12,5 КМ (МАССТАРТ);1491683711М;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - КЛАССИЧЕСКИЙ СТИЛЬ 15 КМ;1491693711Ю;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - СВОБОДНЫЙ СТИЛЬ - СПРИНТ;1491703711Я;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - СВОБОДНЫЙ СТИЛЬ 2,5 КМ;1490613711Б;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - СВОБОДНЫЙ СТИЛЬ 3 КМ;1491713711Я;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - СВОБОДНЫЙ СТИЛЬ 5 КМ;1490623711Я;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - СВОБОДНЫЙ СТИЛЬ 7,5 КМ;1491723711Л;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - СВОБОДНЫЙ СТИЛЬ 7,5 КМ (МАССТАРТ);1491733711Ж;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - СВОБОДНЫЙ СТИЛЬ 10 КМ;1490633711А;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - СВОБОДНЫЙ СТИЛЬ 15 КМ;1491753711М;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - ЭСТАФЕТА 4Х3 КМ;1491763711С;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - ЭСТАФЕТА 4Х5 КМ;1491773711Г;;;;;;;;;;;;;
;;;ЛЫЖНЫЕ ГОНКИ - ЭСТАФЕТА 4Х7,5 КМ;1491783711М;;;;;;;;;;;;;
;;;НАСТОЛЬНЫЙ ТЕННИС - ОДИНОЧНЫЙ РАЗРЯД;1490672711Я;;;;;;;;;;;;;
;;;НАСТОЛЬНЫЙ ТЕННИС - ПАРНЫЙ РАЗРЯД;1490682711Я;;;;;;;;;;;;;
;;;НАСТОЛЬНЫЙ ТЕННИС - СМЕШАННЫЙ РАЗРЯД;1490692711Я;;;;;;;;;;;;;
;;;НАСТОЛЬНЫЙ ТЕННИС - КОМАНДНЫЕ СОРЕВНОВАНИЯ;1490702711Л;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 43 КГ;1491791711Д;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 47 КГ;1491801711Б;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 52 КГ;1491811711Б;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 53 КГ;1491821711Ю;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 57 КГ;1491831711Б;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 59 КГ;1491841711А;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 63 КГ;1491851711Б;;;;;;;;;;;;;
;;;ПАУЭРЛИФТИНГ - ТРОЕБОРЬЕ - ВЕСОВАЯ КАТЕГОРИЯ 66 КГ;1491861711А;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БАТТЕРФЛЯЙ 200 М (БАССЕЙН 25 М);1491981711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БРАСС 50 М;1490711711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - БРАСС 50 М (БАССЕЙН 25 М);1491991711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 50 М (БАССЕЙН 25 М);1492021711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 100 М;1490751711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 100 М (БАССЕЙН 25 М);1492031711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 200 М;1490761711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 200 М (БАССЕЙН 25 М);1492041711Я;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 400 М;1490771711Л;;;;;;;;;;;;;
;;;ПЛАВАНИЕ - ВОЛЬНЫЙ СТИЛЬ 400 М (БАССЕЙН 25 М);1492051711Л;;;;;;;;;;;;;
